date,month,precipitation,year,precipitation_mean,precipitation_std,z_precipitation
2016-01-01,1,2.406441494298633,2016,4.3391869797813385,5.937198094161852,-0.325531581535608
2016-02-01,2,0.0,2016,11.64356935728168,13.29139848912826,-0.8760228930616724
2016-03-01,3,89.4638133989647,2016,33.944871083505596,19.899972018727915,2.7899005216293813
2016-04-01,4,72.78662502298494,2016,113.52077304994008,32.63089800654382,-1.2483305859000964
2016-05-01,5,197.6800233158283,2016,176.61005974572427,42.39669549821466,0.4969718352457749
2016-06-01,6,171.68911088258028,2016,178.15213825905576,34.12013792721124,-0.18941973183880756
2016-07-01,7,182.73245417233557,2016,205.79268096131557,51.84837348634735,-0.4447627811324148
2016-08-01,8,275.2147758041974,2016,216.6827667095796,69.25379687440768,0.8451812281248072
2016-09-01,9,187.71191460639238,2016,236.8360261560407,46.866101861715556,-1.048180019208666
2016-10-01,10,128.0731285464135,2016,156.41062952095487,45.7663167047445,-0.6191780989795861
2016-11-01,11,5.591870167365414,2016,14.43278199392981,13.636496516823462,-0.6483272162800238
2016-12-01,12,3.0061364146870346,2016,3.5870408676794963,3.055261729364951,-0.19013246800077094
2017-01-01,1,0.6582303764262178,2017,4.3391869797813385,5.937198094161852,-0.6199821102440001
2017-02-01,2,0.0,2017,11.64356935728168,13.29139848912826,-0.8760228930616724
2017-03-01,3,16.68889305887933,2017,33.944871083505596,19.899972018727915,-0.8671357933763234
2017-04-01,4,103.1182493132842,2017,113.52077304994008,32.63089800654382,-0.3187936701763387
2017-05-01,5,164.23891712911427,2017,176.61005974572427,42.39669549821466,-0.29179497296271484
2017-06-01,6,199.36293787456452,2017,178.15213825905576,34.12013792721124,0.6216504652108361
2017-07-01,7,149.335354477269,2017,205.79268096131557,51.84837348634735,-1.0888929138522128
2017-08-01,8,303.0276557346806,2017,216.6827667095796,69.25379687440768,1.2467892436524188
2017-09-01,9,200.62036916799843,2017,236.8360261560407,46.866101861715556,-0.7727473706881193
2017-10-01,10,92.27539894059191,2017,156.41062952095487,45.7663167047445,-1.4013631683345449
2017-11-01,11,1.4738239599150802,2017,14.43278199392981,13.636496516823462,-0.9503143287593814
2017-12-01,12,1.741955447249893,2017,3.5870408676794963,3.055261729364951,-0.6039042098082746
2018-01-01,1,0.011647524330328451,2018,4.3391869797813385,5.937198094161852,-0.7288858122666234
2018-02-01,2,51.785247916617664,2018,11.64356935728168,13.29139848912826,3.0201245258104326
2018-03-01,3,22.836607344743243,2018,33.944871083505596,19.899972018727915,-0.5582049928667406
2018-04-01,4,124.45964145072503,2018,113.52077304994008,32.63089800654382,0.33523038190954063
2018-05-01,5,197.4210072606802,2018,176.61005974572427,42.39669549821466,0.4908624898804267
2018-06-01,6,147.38978089392185,2018,178.15213825905576,34.12013792721124,-0.9015894786462907
2018-07-01,7,217.48887176252902,2018,205.79268096131557,51.84837348634735,0.22558452685682173
2018-08-01,8,209.755608683452,2018,216.6827667095796,69.25379687440768,-0.10002567857311914
2018-09-01,9,230.35283983498812,2018,236.8360261560407,46.866101861715556,-0.1383342344149308
2018-10-01,10,149.91374315337453,2018,156.41062952095487,45.7663167047445,-0.14195781603955965
2018-11-01,11,23.20769595308957,2018,14.43278199392981,13.636496516823462,0.6434874198320715
2018-12-01,12,0.2146969991597416,2018,3.5870408676794963,3.055261729364951,-1.1037823162929843
2019-01-01,1,0.7675862356936705,2019,4.3391869797813385,5.937198094161852,-0.6015633447702686
2019-02-01,2,23.43653541369713,2019,11.64356935728168,13.29139848912826,0.8872629968969437
2019-03-01,3,23.5449817144181,2019,33.944871083505596,19.899972018727915,-0.522608240820647
2019-04-01,4,71.61490373401466,2019,113.52077304994008,32.63089800654382,-1.2842389231066085
2019-05-01,5,158.93500945344567,2019,176.61005974572427,42.39669549821466,-0.4168968851127301
2019-06-01,6,225.70352143095806,2019,178.15213825905576,34.12013792721124,1.3936456902180185
2019-07-01,7,198.264366956515,2019,205.79268096131557,51.84837348634735,-0.14519865327661455
2019-08-01,8,223.18529537506402,2019,216.6827667095796,69.25379687440768,0.09389418283125772
2019-09-01,9,383.38292149454355,2019,236.8360261560407,46.866101861715556,3.126927342301868
2019-10-01,10,201.93741837888956,2019,156.41062952095487,45.7663167047445,0.9947662852495845
2019-11-01,11,43.4854978047224,2019,14.43278199392981,13.636496516823462,2.1305117318770264
2019-12-01,12,1.600703947373404,2019,3.5870408676794963,3.055261729364951,-0.650136419153511
2020-01-01,1,0.009138961282587843,2020,4.3391869797813385,5.937198094161852,-0.7293083285795299
2020-02-01,2,0.0,2020,11.64356935728168,13.29139848912826,-0.8760228930616724
2020-03-01,3,50.66926348155539,2020,33.944871083505596,19.899972018727915,0.84042291025889
2020-04-01,4,98.86393143597707,2020,113.52077304994008,32.63089800654382,-0.44917064835370807
2020-05-01,5,210.07470076158643,2020,176.61005974572427,42.39669549821466,0.789321918196935
2020-06-01,6,222.84313810011372,2020,178.15213825905576,34.12013792721124,1.3098129889274663
2020-07-01,7,203.11039220704697,2020,205.79268096131557,51.84837348634735,-0.05173332496100181
2020-08-01,8,81.46807527655415,2020,216.6827667095796,69.25379687440768,-1.9524516710360065
2020-09-01,9,325.0378051921725,2020,236.8360261560407,46.866101861715556,1.8819952061808445
2020-10-01,10,130.66642007067549,2020,156.41062952095487,45.7663167047445,-0.5625143403251094
2020-11-01,11,0.802501616479276,2020,14.43278199392981,13.636496516823462,-0.9995441542213384
2020-12-01,12,5.758518035606585,2020,3.5870408676794963,3.055261729364951,0.7107336000239951
2021-01-01,1,0.8789235846888914,2021,4.3391869797813385,5.937198094161852,-0.5828108377409511
2021-02-01,2,3.651496891048737,2021,11.64356935728168,13.29139848912826,-0.601296580850396
2021-03-01,3,38.15384863736108,2021,33.944871083505596,19.899972018727915,0.2115067071398092
2021-04-01,4,108.37999908418965,2021,113.52077304994008,32.63089800654382,-0.1575431348754022
2021-05-01,5,176.94764303788543,2021,176.61005974572427,42.39669549821466,0.00796249066570228
2021-06-01,6,238.684010989964,2021,178.15213825905576,34.12013792721124,1.7740805403554163
2021-07-01,7,94.80853287997888,2021,205.79268096131557,51.84837348634735,-2.1405521642942356
2021-08-01,8,293.6974648507312,2021,216.6827667095796,69.25379687440768,1.112064632078128
2021-09-01,9,177.6044787336141,2021,236.8360261560407,46.866101861715556,-1.2638462570921065
2021-10-01,10,198.2471969267972,2021,156.41062952095487,45.7663167047445,0.9141344643429697
2021-11-01,11,36.29510473744449,2021,14.43278199392981,13.636496516823462,1.6032213784928517
2021-12-01,12,3.6118746804065722,2021,3.5870408676794963,3.055261729364951,0.00812821123911953
2022-01-01,1,0.03300407883580192,2022,4.3391869797813385,5.937198094161852,-0.725288735974614
2022-02-01,2,0.0,2022,11.64356935728168,13.29139848912826,-0.8760228930616724
2022-03-01,3,44.8406891346749,2022,33.944871083505596,19.899972018727915,0.5475293151626155
2022-04-01,4,125.27259175330983,2022,113.52077304994008,32.63089800654382,0.36014389493703275
2022-05-01,5,130.888456963934,2022,176.61005974572427,42.39669549821466,-1.0784237366734306
2022-06-01,6,195.76172034535557,2022,178.15213825905576,34.12013792721124,0.5161052432984436
2022-07-01,7,142.93663820694928,2022,205.79268096131557,51.84837348634735,-1.212305006461147
2022-08-01,8,181.20626920554787,2022,216.6827667095796,69.25379687440768,-0.512267905951332
2022-09-01,9,152.80956776531093,2022,236.8360261560407,46.866101861715556,-1.7929047873164405
2022-10-01,10,243.04540410867048,2022,156.41062952095487,45.7663167047445,1.8929811447713547
2022-11-01,11,3.3267166242503663,2022,14.43278199392981,13.636496516823462,-0.8144368574419241
2022-12-01,12,13.192475074400136,2022,3.5870408676794963,3.055261729364951,3.143898970880367
2023-01-01,1,2.995532768419814,2023,4.3391869797813385,5.937198094161852,-0.22631116396179582
2023-02-01,2,0.01001058443216607,2023,11.64356935728168,13.29139848912826,-0.8752697304474933
2023-03-01,3,86.31812702983734,2023,33.944871083505596,19.899972018727915,2.6318256074452338
2023-04-01,4,138.20024922676384,2023,113.52077304994008,32.63089800654382,0.7563223105865652
2023-05-01,5,186.75184177521078,2023,176.61005974572427,42.39669549821466,0.23921161567682983
2023-06-01,6,160.26613636035472,2023,178.15213825905576,34.12013792721124,-0.5242066118506727
2023-07-01,7,221.92003187164664,2023,205.79268096131557,51.84837348634735,0.3110483478247916
2023-08-01,8,167.20137143693864,2023,216.6827667095796,69.25379687440768,-0.7144936090995251
2023-09-01,9,242.16308087669313,2023,236.8360261560407,46.866101861715556,0.11366541079884529
2023-10-01,10,116.85294383205473,2023,156.41062952095487,45.7663167047445,-0.8643406010604142
2023-11-01,11,20.517409146836144,2023,14.43278199392981,13.636496516823462,0.44620164317129973
2023-12-01,12,0.6679307281303863,2023,3.5870408676794963,3.055261729364951,-0.955437012643712
2024-01-01,1,0.014257086397265084,2024,4.3391869797813385,5.937198094161852,-0.7284462847276143
2024-02-01,2,4.404908271786553,2024,11.64356935728168,13.29139848912826,-0.544612449278081
2024-03-01,3,41.97374349921665,2024,33.944871083505596,19.899972018727915,0.40346149271743015
2024-04-01,4,128.69545761754853,2024,113.52077304994008,32.63089800654382,0.4650403603531018
2024-05-01,5,149.37527700170176,2024,176.61005974572427,42.39669549821466,-0.6423798464474519
2024-06-01,6,206.46470619365573,2024,178.15213825905576,34.12013792721124,0.8297905475938988
2024-07-01,7,194.27781841016986,2024,205.79268096131557,51.84837348634735,-0.22208724742691863
2024-08-01,8,115.98388966679704,2024,216.6827667095796,69.25379687440768,-1.4540556848514858
2024-09-01,9,261.8331608345907,2024,236.8360261560407,46.866101861715556,0.5333734551319677
2024-10-01,10,293.0139252399931,2024,156.41062952095487,45.7663167047445,2.98479986056813
2024-11-01,11,0.0,2024,14.43278199392981,13.636496516823462,-1.058393699299814
2024-12-01,12,6.275371641584115,2024,3.5870408676794963,3.055261729364951,0.8799019567018895
2025-01-01,1,0.009151050140644656,2025,4.3391869797813385,5.937198094161852,-0.7293062924577995
2025-02-01,2,16.151182563214206,2025,11.64356935728168,13.29139848912826,0.33913761667890274
