osmid,lat,lon
7942961866,8.1643702,6.7895823
10260996811,8.0464547,6.8410814
10117479118,8.0104675,6.937437
6130993871,7.8768312,6.9157058
7942961872,8.1650045,6.7895525
10237840081,7.8567991,6.943628
5974952658,7.9401998,6.8609073
11079992019,8.1131955,6.7843929
10207027922,8.036792,6.8860435
7942961873,8.1632686,6.7888108
7698768599,7.9835218,6.9744949
6130993880,7.8769136,6.9143378
3856231128,8.0361607,6.8859295
6130993882,7.8770637,6.9139958
10248655578,8.0658088,6.8373379
10267718363,8.0229938,6.8199027
10260996829,8.0501251,6.8421221
3856231133,8.0361911,6.8914806
5974952671,7.939634,6.8653797
10207027935,8.0365353,6.8860849
7942961888,8.16467,6.7910175
10181030626,7.9373726,6.7943471
10184309475,8.0547645,6.8360537
7942961889,8.1628883,6.7881217
7942961893,8.1628677,6.78689
10181030630,7.9364514,6.7944413
7942961894,8.162022,6.7887783
10214931175,8.0907842,6.7953596
10214931177,8.0907035,6.7969735
10214146794,7.9641985,6.9647208
10181030634,7.9376465,6.794319
10214931178,8.0898011,6.7976832
10225685229,7.9352779,6.9169571
10207027949,8.0359912,6.8859857
7942961897,8.1616016,6.7881543
7942961906,8.1632894,6.7867328
10214931188,8.0919496,6.7963634
10207027957,8.0357865,6.8863509
10225685238,7.934131,6.9172963
10214931190,8.0914895,6.7959901
10240299768,8.0676002,6.8448201
7942961908,8.164166,6.7870362
10214146810,7.9662576,6.9652371
10225685242,7.9337195,6.9176272
10184309499,8.0550253,6.8413952
7942961910,8.1656281,6.7874779
10225685253,7.9342895,6.9166174
10225685256,7.93441,6.9168967
10225685259,7.9344064,6.9171828
5974987532,8.1798862,6.7289533
10255567629,7.896703,6.9048314
10225685261,7.9343675,6.9173393
10225685265,7.9342584,6.9179091
10240299794,8.0663836,6.8426921
10225685266,7.9351036,6.9169131
10225685275,7.9337352,6.9170442
10225685278,7.9334644,6.9174804
11276325662,7.9339653,6.9564479
10272512798,7.8371724,6.7883438
10225685289,7.9331906,6.91575
6130539319,7.8462365,6.7962007
10180903736,7.9844165,6.982305
10225685308,7.9327656,6.9189781
10201897790,8.1063049,6.7649822
6130539327,7.8466664,6.7964762
10235577154,8.083263,6.8051621
10235577156,8.0841136,6.8063043
6130539336,7.8466045,6.7960786
10225685329,7.9353982,6.9176102
10225685334,7.9348164,6.9175753
10272512855,7.8381489,6.7901435
10272512854,7.8381675,6.7903152
7942962009,8.1532029,6.7824646
7942962010,8.1533366,6.7840398
10225685341,7.9345072,6.9179428
10186953567,7.9576701,6.7940691
10272512864,7.8380898,6.7894616
10213938017,7.9345539,6.9549016
10225685346,7.9340221,6.9186079
7942962019,8.153233,6.7820399
10225685351,7.9341559,6.9178801
10225685352,7.9335536,6.9178244
10264753001,8.0266043,6.7924147
6517797738,8.0889155,6.7999215
10248625008,8.0667457,6.8380058
10225685362,7.9317933,6.91632
10225685363,7.9316916,6.9166357
10144854900,7.9444532,6.9440152
10207017845,8.0361571,6.8906759
10260996979,8.0487122,6.8378627
10260996980,8.0466323,6.8390085
10207017848,8.0364212,6.8905907
10260996983,8.0452011,6.8394613
10214280058,7.9659399,6.9884492
7942962039,8.153782,6.7833307
7942962040,8.146041,6.7877617
10207017856,8.0366386,6.8895887
10117479297,8.0111702,6.9350481
317746054,8.15989,6.7849159
7942962063,8.1526616,6.7854618
317746070,8.0644598,6.7821708
7942962073,8.1550488,6.7857367
7942962074,8.1461579,6.7943345
10144854941,7.9503718,6.9359162
10250531742,7.9370832,6.8665977
6105932703,8.0887283,6.7995273
6105932704,8.0882989,6.7987273
10260997023,8.0452998,6.8349308
6105932707,8.0872598,6.7977637
6105932708,8.0879793,6.8008012
10214280100,7.9674029,6.966577
6105932710,8.0867113,6.8000665
6105932709,8.0872949,6.799522
6105932712,8.087838,6.7990559
6105932713,8.0881016,6.7997888
6105932714,8.089311,6.7993702
10214280107,7.9666153,6.9668318
6105932716,8.0892195,6.7996372
6105932711,8.087459,6.7999619
10250531749,7.938843,6.8653432
10214280111,7.9671865,6.9663154
10225673136,7.9309666,6.9151015
10117479337,8.0107118,6.9357204
10214280115,7.9668999,6.9660806
3856210867,8.0423451,6.8378754
10225673139,7.9331043,6.9156798
10207038390,8.0175381,6.8962644
10117479349,8.0093413,6.9371688
6031418296,8.1006169,6.7540652
10207017914,8.0365713,6.8909418
10228003770,7.9099921,6.9170764
10240156604,8.064378,6.8133402
10233703357,7.8392859,6.7921476
10207017919,8.036164,6.8908392
10260997056,8.0484891,6.8412155
10207017921,8.036258,6.8921033
10214280130,7.9666427,6.9665933
10233703362,7.8405661,6.7910843
5974987717,8.1720191,6.7413768
10225673161,7.937315,6.9179484
10207017930,8.036763,6.8911731
10207017934,8.0365591,6.8907682
12594254799,8.1900989,6.7955503
10214280144,7.9665855,6.9663987
10240299984,8.058756,6.8368546
10240299983,8.0621553,6.8395156
10235915221,7.8577343,6.8481664
10260997077,8.0457761,6.8354512
5482736604,7.7438755,6.7444833
10267741149,8.0237747,6.8210617
3856231390,8.0377929,6.8755212
10117479389,8.0088049,6.9431387
5974588384,8.1327032,6.7273138
10267741153,8.0227972,6.8206163
7942962149,8.1581855,6.798512
10260997096,8.0494134,6.8387961
10207063017,8.0288942,6.878805
10225673194,7.9404244,6.9203874
10233013229,8.0947749,6.803159
10117479407,8.0109047,6.943237
10259778548,7.8461655,6.7951727
10117479416,8.0068936,6.9315227
7942962179,8.1599007,6.7881989
3856231428,8.046252,6.8369624
10207017989,8.036593,6.8893562
10207017992,8.036382,6.8891602
10228003848,7.9106552,6.9163367
6008347658,8.1506714,6.7731052
10214673419,7.9512168,6.9344843
10207017995,8.0361212,6.8888918
5974633485,7.903929,6.7972008
10206983182,8.0348227,6.8844795
10207017996,8.036658,6.8885218
10207018000,8.036242,6.8887491
10207018001,8.0363724,6.888761
10207018002,8.0363574,6.8886745
